"";"icao";"uf";"ibge";"long";"lat";"nat.centrality";"nat.module";"int.centrality";"int.module";"nat.degree";"int.degree";"dif.degree";"nat.strength";"int.strength";"dif.strength";"nat.fligths";"int.fligths";"n.nat.fligths";"n.int.fligths"
"289";"SSCN";"RS";4304408;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"290";"SSER";"RS";4307005;-52,2682991;-27,66189957;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"291";"SSHZ";"RS";4309605;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"292";"SSIJ";"RS";4310207;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"293";"SSJA";"SC";4209003;-51,55329895;-27,17140007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"294";"SSLS";"PR";4113304;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"295";"SSLT";"RS";4300406;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"296";"SSNC";"GO";5201504;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"297";"SSNH";"RS";4313409;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"298";"SSNM";"MT";5104104;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"299";"SSOE";"SC";4204905;-53,50350189;-26,78160095;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"300";"SSPK";"PR";4120002;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"301";"SSSC";"RS";4316808;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"302";"SSUM";"PR";4128104;-53,31380081;-23,79870033;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"303";"SSVI";"SC";4219309;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
