"";"ibge";"dist.ilheus";"dist.ssa";"dist.min.ilh.ssa";"dist.min.loc";"dist.min.nat";"dist.min.int";"dist.min.nat.wint";"nat.airport";"loc.airport"
"222";"2916906";190,318661852638;208,509205774369;190,318661852638;127,478309956875;127,478309956875;208,509205774369;127,478309956875;"NO";"NO"
"223";"2917003";460,413310651739;292,373528361315;292,373528361315;192,020244749194;228,236182887604;292,373528361315;228,236182887604;"NO";"NO"
"224";"2917201";276,354920827882;347,784044217349;276,354920827882;126,922717238056;126,922717238056;347,784044217349;126,922717238056;"NO";"NO"
"225";"2917300";118,704663195998;129,380366175502;118,704663195998;53,0243091916009;53,0243091916009;129,380366175502;53,0243091916009;"NO";"NO"
"226";"2917508";439,1755008767;312,481599761494;312,481599761494;167,906204435406;167,906204435406;312,481599761494;167,906204435406;"NO";"YES"
"227";"2917607";171,594506586122;190,998296340219;171,594506586122;108,278559295876;108,278559295876;190,998296340219;108,278559295876;"NO";"NO"
"228";"2917706";541,128251270609;371,147556177462;371,147556177462;212,031949128599;212,031949128599;371,147556177462;212,031949128599;"NO";"NO"
"229";"2917805";187,562427370594;75,7408230898503;75,7408230898503;19,3881084329126;19,3881084329126;75,7408230898503;19,3881084329126;"NO";"NO"
"230";"2917904";388,691800491355;165,235147110407;165,235147110407;157,699477156126;165,235147110407;165,235147110407;241,683263420661;"NO";"NO"
"231";"2918100";542,047825603421;329,451597471709;329,451597471709;68,1226509992739;68,1226509992739;329,451597471709;68,1226509992739;"NO";"NO"
"232";"2918209";175,433668827911;144,388572442514;144,388572442514;64,2447591141824;64,2447591141824;144,388572442514;64,2447591141824;"NO";"NO"
"233";"2918308";130,73828456797;203,569444770002;130,73828456797;119,602337956406;119,602337956406;203,569444770002;119,602337956406;"NO";"NO"
"234";"2918357";483,183646126092;399,439513138443;399,439513138443;142,742188402686;142,742188402686;399,439513138443;142,742188402686;"NO";"NO"
"235";"2918407";598,553410467941;428,764262175821;428,764262175821;222,662870707361;222,662870707361;428,764262175821;222,662870707361;"NO";"YES"
"236";"2918506";526,525358499987;442,16297677844;442,16297677844;181,274734128668;181,274734128668;442,16297677844;181,274734128668;"NO";"NO"
"237";"2918605";312,245527788006;361,572712112725;312,245527788006;119,577738182462;119,577738182462;361,572712112725;119,577738182462;"NO";"NO"
"238";"2918704";188,036079342013;228,366210437355;188,036079342013;145,86474139674;145,86474139674;228,366210437355;145,86474139674;"NO";"NO"
"239";"2918753";353,952450801427;440,345319804562;353,952450801427;59,570511094634;171,848019496664;428,585320436122;171,848019496664;"NO";"NO"
"240";"2918803";185,557368940045;114,681974166563;114,681974166563;40,957626416591;40,957626416591;114,681974166563;40,957626416591;"NO";"NO"
"241";"2919009";341,140545676971;293,604753157806;293,604753157806;34,8869635013517;34,8869635013517;293,604753157806;34,8869635013517;"NO";"NO"
"242";"2919058";201,710859164239;221,035922658359;201,710859164239;140,883946532612;140,883946532612;221,035922658359;140,883946532612;"NO";"NO"
"243";"2919108";336,591833006806;140,295570613652;140,295570613652;46,9390048269974;140,295570613652;140,295570613652;168,458699232934;"NO";"NO"
"244";"2919157";472,920998762512;407,803105054633;407,803105054633;122,040426824147;122,040426824147;407,803105054633;122,040426824147;"NO";"NO"
"245";"2919207";229,133572204894;5,04908785229659;5,04908785229659;5,04908785229659;5,04908785229659;5,04908785229659;86,6079546451214;"NO";"NO"
"246";"2919306";363,494588543255;331,828680058838;331,828680058838;9,11931876770593;9,11931876770593;331,828680058838;9,11931876770593;"YES";"YES"
"247";"2919504";337,91334986052;409,711731162611;337,91334986052;92,6882003031121;166,095322600743;409,711731162611;166,095322600743;"NO";"NO"
"248";"2919553";806,974839914725;836,95483586695;806,974839914725;107,500076541165;107,500076541165;836,95483586695;107,500076541165;"NO";"NO"
